Name,Type,Country,Description,Supporting_Text
"United States of America (USA)","Country","None","One of the powers that routinely marginalised the UN.","The UN was routinely marginalised by the USA and other powers during this period, but remained a forum for the expression of environmental, economic and social concerns."
"Norway","Country","None","Country of origin of philosopher Arne Naess, who introduced the term 'deep ecology' in the early 1970s. Country of the Prime Minister who chaired the World Commission on Environment and Development.","The Norwegian Prime Minister, Gro Harlem Brundtland (b. 1939), chaired the Commission, and its report, Our Common Future, also known as the Brundtland Report, was published in 1987."
"Rhine River","Other","None","River where toxic chemical spills occurred.","toxic chemical spills in the Rhine River."
"United Kingdom (UK)","Country","None","Criticised for its opposition to the UN target for development aid at the Rio Summit.","The UK was criticised for its opposition to the UN target for developed nations to give 0.7 per cent of national income to development aid."
"Malaysia","Country","None","One of the leading developing nations that argued against a legally binding forest protection convention at the Rio Summit.","Developing nations, led by Malaysia and India, argued that such a convention might interfere with their sovereign right to exploit forest resources."
"World Commission on Environment and Development (WCED)","Institution","None","Commission established by the UN General Assembly, chaired by Gro Harlem Brundtland, that produced the Brundtland Report.","the UN General Assembly passed Resolution 38/161,20 establishing the World Commission on Environment and Development (WCED)."
"United Nations General Assembly","Institution","None","UN body that convened a special session on the environment (Rio+5) and later adopted resolutions on sustainable development.","In 1997, the UN General Assembly held a special session on the environment (also known as Rio+5) to review and appraise the implementation of Agenda 21."
"World Bank","Institution","","A multinational institution whose actions will test the acceptance of green‑economy ideas. International financial institution designated to manage the Global Environment Facility (GEF). International...","a funding mechanism called the Global Environment Facility (GEF), which would be managed by the World Bank."
"Global Environment Facility","Institution","None","Funding mechanism established at the 1992 Earth Summit to support environmental projects.","a funding mechanism called the Global Environment Facility (GEF), which would be managed by the World Bank."
"Commission on Sustainable Development","Institution","None","UN body created to monitor progress on the implementation of Agenda 21.","The Summit also established the Commission on Sustainable Development (CSD) to monitor progress on the implementation of Agenda 21"
"Ramsar","City","Iran","City after which the 1971 Ramsar Convention on wetland protection is named.","protection of wetlands (Ramsar Convention, 1971)"
"Vienna","City","Austria","City where the 1985 Vienna Convention on Ozone‑Depleting Substances was concluded.","ozone‑depleting substances (Vienna Convention, 1985; Montreal Protocol, 1987)"
"Montreal","City","Canada","City where the 1987 Montreal Protocol on Substances that Deplete the Ozone Layer was negotiated. The Montreal Protocol, named after the Canadian city, was the target of the 1985 international effort t...","ozone‑depleting substances (Vienna Convention, 1985; Montreal Protocol, 1987)"
"Basel","City","Switzerland","City after which the 1989 Basel Convention on hazardous wastes is named.","hazardous wastes (Basel Convention, 1989)"
"Rotterdam","City","Netherlands","City after which the 1998 Rotterdam Convention on hazardous chemicals and pesticides is named.","hazardous chemicals and pesticides (Rotterdam Convention, 1998)"
"Cartagena","City","Colombia","City after which the 2000 Cartagena Protocol on Biosafety is named.","bio‑safety (Cartagena Protocol, 2000)"
"Antarctic","Region","None","Polar region addressed by various global conventions on the conservation of the Antarctic.","various conventions on conservation of the Antarctic"
"Bali","Region","Indonesia","Island/region that hosted COP 13 in 2007.","COP 13 in Bali, Indonesia"
"Poznan","City","Poland","City that hosted COP 14.","COP 14 in Poznan, Poland"
"Durban","City","South Africa","City designated to host COP 17 in 2011.","the aim of a more comprehensive agreement at COP 17 in Durban, South Africa in 2011."
"Kyoto","City","Japan","Location of a special broadcast event for Live Earth 2007. Referenced as the city after which a post‑Kyoto climate treaty is being negotiated.","post-Kyoto treaty to reduce greenhouse gas emissions and tackle climate change"
"Rio","City","Brazil","Host city mentioned in connection with the 2012 Earth Summit (Rio +20).","preparation for the 2012 Earth Summit (Stockholm +40, Rio +20) being undertaken"
"UNEP","Institution","None","The United Nations Environment Programme, described as a global‑level advocate for the environment. United Nations Environment Programme that launched the Global Green New Deal (GGND) initiative in De...","UNEP has acted as a global-level advocate for the environment."
"Walden Pond","Other","USA","Pond whose surrounding land was explored by Henry Thoreau, influencing his ideas about natural simplicity and human‑nature ties.","Henry Thoreau's (1817-62) exploration of the land surrounding Walden Pond near Concord, Massachusetts in the USA informed his appreciation of natural simplicity, and his views on the ties between people and nature drew upon his understanding of local ecology."
"Concord","City","USA","Town in Massachusetts near Walden Pond referenced in Thoreau's reflections on nature.","Henry Thoreau's (1817-62) exploration of the land surrounding Walden Pond near Concord, Massachusetts in the USA informed his appreciation of natural simplicity..."
"Massachusetts","Region","USA","U.S. state where Walden Pond and Concord are located, mentioned in the context of Thoreau's observations.","Henry Thoreau's (1817-62) exploration of the land surrounding Walden Pond near Concord, Massachusetts in the USA informed his appreciation of natural simplicity..."
"House of Lords","Institution","United Kingdom","Upper chamber of the UK Parliament where bird and fox deaths linked to pesticide use were raised.","In the UK, large-scale bird and fox deaths were raised in the House of Lords."
"Californian Fisheries and Game Department","Institution","United States of America","State agency in California that conducted a scientific study influencing awareness of pesticide hazards.","A scientific study for the Californian Fisheries and Game Department played a considerable part in stimulating awareness of the need to act among both the international science community and the American public."
"Clear Lake","Other","United States of America","Recreational lake north of San Francisco, site of the 1960 DDD pesticide study.","In 1960, Hunt and Bischoff published a paper entitled 'Inimical Effects on Wildlife of Periodic DDD Applications to Clear Lake'. It investigated the impact of dichlorodiphenyldichloroethane (DDD), an insecticide ... that was used between 1949 and 1957 to eradicate gnats on a recreational lake north ..."
"Monks Wood","Other","United Kingdom","Site of the Nature Conservancy's Toxic Chemicals and Wildlife research station.","Shortly after the paper was published, it was brought to the attention of Norman Moore (b. 1923), the head of the Nature Conservancy's newly established Toxic Chemicals and Wildlife research station at Monks Wood in the UK."
"United States Senate","Institution","United States of America","Upper chamber of the U.S. Congress where Rachel Carson testified before a subcommittee.","Carson was interviewed on news programmes and testified to a subcommittee of the US Senate."
"Science Advisory Committee","Institution","United States of America","Presidential advisory body ordered by President John F. Kennedy to examine pesticide use.","As a consequence, US President John F. Kennedy ordered his Science Advisory Committee to examine pesticide use (see Chapter 2)."
"Cuba","Country","None","Backdrop of the Cuban missile crisis mentioned when Silent Spring was published.","When Silent Spring was published against the backdrop of the Cuban missile crisis and the use of chemical herbicides in the Vietnam War"
"National Aeronautics and Space Administration (NASA)","Institution","United States","U.S. federal agency that employed James Lovelock to investigate detection of life on other planets.","The US National Aeronautics and Space Administration (NASA) scientist James Lovelock (b. 1919) introduced a scientific twist to the biocentric approach to environmentalism when he developed his Gaia hypothesis during the 1970s."
"Environmental Protection Agency (EPA)","Institution","United States","S. U. federal agency created to address growing public concern about harmful environmental pollution. federal agency responsible for environmental regulations, noted for its use of cost‑benefit analys...","the US administration established the US Environmental Protection Agency."
"Royal Commission for Environmental Pollution","Institution","United Kingdom","UK government body set up in 1970 to address environmental pollution concerns.","It was not until 1970 that the UK government set up the Royal Commission for Environmental Pollution and a Department for the Environment"
"Department for the Environment","Institution","United Kingdom","UK government department created in 1970 to focus on environmental issues rather than purely economic concerns.","It was not until 1970 that the UK government set up the Royal Commission for Environmental Pollution and a Department for the Environment"
"Deep Ocean","Other","None","Ecosystem explored by scientific expeditions that yielded stories and images of newly discovered species.","scientific expeditions into inaccessible jungles, deserts and the deep ocean provided stories and images of newly discovered species"
"Ohio","Region","United States","U.S. state whose governor argued that Ohio was no more responsible for acid rain than Florida for hurricanes.","one Ohio governor stated that his state was no more responsible for acid rain than Florida was for hurricanes"
"Florida","Region","United States","U.S. state used in a comparison by an Ohio governor regarding responsibility for acid rain.","one Ohio governor stated that his state was no more responsible for acid rain than Florida was for hurricanes"
"UK Department of the Environment","Institution","United Kingdom","British governmental department whose scientists advocated for sulphur‑dioxide emission reductions in the early 1980s.","By the early 1980s, scientists and civil servants at the UK Department of the Environment were convinced that it was in Britain's interests to reduce sulphur dioxide emissions, but other UK government departments and industry interests opposed them."
"US Food and Drink Administration (FDA)","Institution","United States of America","U.S. agency that introduced the “substantial equivalence” scientific criteria for assessing new food products, including GM foods.","Instead, the US Food and Drink Administration (FDA) introduced scientific criteria called substantial equivalence to identify how similar new products were to existing ones."
"World Trade Organization (WTO)","Institution","None","International body that mediated a trade dispute over GM food standards between the United States and Europe.","This resulted in a trade dispute which was mediated by the WTO on legal rather than scientific lines."
"North Sea","Region","None","Sea where the Brent Spar oil-storage buoy was slated for deep‑sea disposal and where Greenpeace campaigned against it.","The battle over the disposal of the Brent Spar oil platform in the North Sea and interpretations of climate science provide two examples..."
"UK waters","Region","United Kingdom","Maritime area under UK jurisdiction identified by Shell as the preferred site for deep‑sea disposal of the Brent Spar.","Shell had identified deep-sea disposal in UK waters as the best environmental option at reasonable cost."
"Europe-wide","Region","None","Pan‑European scope of the boycott against Shell triggered by the Brent Spar campaign.","The imagery provided the spark for a Europe-wide boycott of Shell"
"Royal Society","Institution","United Kingdom","Scientific academy that attempted to write a plain‑English guide to climate change but was forced to alter its wording after internal complaints. World's oldest scientific academy that was involved in...","Direct conflict broke out in 2006 when Exxon Mobil, the world's richest company and a member of the Global Climate Coalition, was challenged in an exchange of letters that became public with the Royal Society, the world's oldest scientific academy."
"Bretton Woods","City","United States","Site of the 1944 conference where 44 countries met to design post‑war economic cooperation, leading to the creation of the IMF and World Bank.","In 1944, against the backdrop of the Second World War, forty-four countries gathered together at Bretton Woods in the US state of New Hampshire."
"New Hampshire","Region","United States","U.S. state that hosted the Bretton Woods conference in 1944.","In 1944, against the backdrop of the Second World War, forty-four countries gathered together at Bretton Woods in the US state of New Hampshire."
"Western Europe","Region","None","Region targeted by the Marshall Plan to prevent the spread of communism and to stabilise the post‑war order.","The aim of the Plan was also to prevent the spread of communism in Western Europe and to stabilise the international order to favour the development of political democracy and free‑market economies."
"Earth","Other","None","Planet described as a single spaceship with limited resources and assimilative capacity in Boulding’s “Spaceship Earth” metaphor.","He saw the closed economy of the future as a 'spaceman' economy, where the Earth is a single spaceship with limited reservoirs of resources and capacity to deal with pollution."
"University of Kansas","Institution","United States","Venue where Robert F. Kennedy delivered a campaign speech in March 1968 criticizing GNP as a measure of progress.","In March 1968, Robert F. Kennedy (1925-68) delivered a campaign speech at the University of Kansas where he explained the shortcomings of using gross national product (GNP) to measure progress:"
"Rome","City","Italy","City where Aurelio Peccei and Alexander King convened an international group at a villa to discuss resource consumption, a meeting that led to the founding of the Club of Rome.","In 1968, the industrialist Aurelio Peccei (1908-84) and Scottish scientist Alexander King (1909-2007) invited an international group of professionals from industry, academia and civil society to a villa in Rome."
"Massachusetts Institute of Technology","Institution","United States","Research institution whose systems scientists developed the integrated global model used in the Limits to Growth report.","The Club's first report, The Limits to Growth (1972), was underpinned by the work of a group of systems scientists at the Massachusetts Institute of Technology (MIT), who had developed the first integrated global model linking the world economy and the environment."
"Massachusetts Institute of Technology (MIT)","Institution","United States of America","Academic institution that produced a 1970 report on critical environmental problems.","An 1970 MIT report of the Study of Critical Environmental Problems, entitled Man's Impact on the Global Environment: Assessment and Recommendations for Action..."
"Earth's biosphere","Other","None","The global ecosystem whose services were valued in monetary terms by Robert Costanza and colleagues.","in the late 1980s Robert Costanza and colleagues attempted to estimate the value of ecosystem services provided by the Earth's biosphere."
"United Nations Environment Programme","Institution","None","UN agency that published the report “Towards a Green Economy” in February 2011. UNEP produced a 2010 report estimating the environmental damage costs of listed companies worldwide.","In 2010, a UNEP report estimated that 3000 listed companies were responsible for US$2.15 trillion worth of environmental damage in 2008, equivalent to 7 per cent off their combined revenues."
"Cochabamba","City","Bolivia","Bolivian town where a privately run water company raised prices, triggering protests against water privatization.","When a privately run water company increased the price of water and sanitation in the Bolivian town of Cochabamba, this set in motion a chain of protests against privatisation..."
"Pittsburgh","City","United States of America","Host city of the G20 summit held in September 2009.","At the September 2009 Pittsburgh Summit, the G20 further pledged to enhance global climate change initiatives, improve energy security and phase out fossil fuel subsidies as well as reduce the vulnerability of the world's poor."
"South Korea","Country","None","One of the G20 members that devoted a sizeable proportion of fiscal spending to a green stimulus (5 %).","Only China (3 per cent) and South Korea (5 per cent) devoted a sizeable proportion of fiscal spending to a green stimulus, followed by the EU (0.9 per cent) and the USA (0.9 per cent)."
"Rio+20","Other","Brazil","The United Nations conference on sustainable development that the international community is turning its attention to.","turns its attention to Rio+20"
"Preston","City","United Kingdom","Site of the first UK motorway bypass, opened in December 1958, heralding the ‘motorway age’.","Motorways were introduced to reduce urban traffic, and the 'motorway age' was born when the Preston by‑pass was opened in December 1958."
"Atlantic","Region","None","Refers to the trans‑Atlantic context in which post‑war consumerism expanded on both sides of the ocean.","The phenomenal expansion in production and consumption contributed to a post‑war baby boom and the rise of consumerism on both sides of the Atlantic."
"Santa Barbara Channel","Other","United States","Marine channel off the coast of California, USA, site of a major oil spill that was widely reported in the media, contributing to environmental awareness.","Coverage of the 1969 oil slick fire on the Cuyahoga River and the Santa Barbara Channel oil spill were key moments in the growing media coverage of the human impact on the environment."
"Moon","Other","None","Celestial body where the US lunar module Eagle landed on 20 July 1969, an event that, through extensive television coverage, helped bring modern environmental concepts into the mainstream.","when the US lunar module Eagle successfully landed on the moon's surface"
"Woodbury, New Jersey","City","United States","First U.S. city to begin a materials‑recovery (recycling) program in November 1970.","Woodbury, New Jersey was the first US city to begin materials recovery"
"Berkeley, California","City","United States","Site of the Ecology Center’s 1973 recycling demonstration project that collected newspapers.","in Berkeley, California collecting newspapers"
"Antarctica","Region","None","Location of a special broadcast event for Live Earth 2007. The discovery of the Antarctic ozone hole in 1985 triggered an international effort to sign the Montreal Protocol.","The discovery of the Antarctic ozone hole in 1985 spurred an international effort to sign the Montreal Protocol"
"Brighton","City","United Kingdom","City in the UK where The Body Shop was founded in 1976.","In 1976, Anita Roddick (1942-2007) founded The Body Shop in Brighton, UK to sell natural beauty products."
"New York City","City","United States","Location of Union Square where US actors participated in the 1970 Earth Day celebration.","US actors Paul Newman (1925-2008) and Ali McGraw (b. 1939) took part in the 1970 Earth Day celebration at Union Square in New York City."
"Union Square","Other","United States","Public square in New York City that hosted the 1970 Earth Day celebration.","US actors Paul Newman (1925-2008) and Ali McGraw (b. 1939) took part in the 1970 Earth Day celebration at Union Square in New York City."
"Washington, DC","City","United States","City where folk singer Pete Seeger performed at an Earth Day‑related event. Location of a special broadcast event for Live Earth 2007.","Folk singer Pete Seeger (b. 1919) was one of a number of artists who performed at a similar event in Washington, DC."
"Amazonas","Region","Brazil","Brazilian state where legal recognition and demarcation of over 27,359 km² of indigenous land was achieved in 1993.","in the Brazilian state of Amazonas. In 1993 this resulted in legal recognition and demarcation of an area of more than 27,359 square kilometres."
"New Orleans","City","United States","City whose destruction by Hurricane Katrina spurred a ‘green issue’ in Vanity Fair.","the green issue was produced partly as a response to the increased environmental awareness that followed Hurricane Katrina and the destruction of New Orleans"
"Hollywood","Other","United States","Neighborhood in Los Angeles referenced as the setting for a 2004 science‑fiction disaster film about climate change.","This followed the 2004 Hollywood science-fiction disaster film The Day After Tomorrow."
"Sydney","City","Australia","One of the seven Live Earth concert venues in 2007.","Live Earth staged concerts in New York, London, Sydney, Tokyo, Shanghai, Rio de Janeiro, Johannesburg and Hamburg"
"Tokyo","City","Japan","One of the seven Live Earth concert venues in 2007.","Live Earth staged concerts in New York, London, Sydney, Tokyo, Shanghai, Rio de Janeiro, Johannesburg and Hamburg"
"Shanghai","City","China","One of the seven Live Earth concert venues in 2007.","Live Earth staged concerts in New York, London, Sydney, Tokyo, Shanghai, Rio de Janeiro, Johannesburg and Hamburg"
"Hamburg","City","Germany","One of the seven Live Earth concert venues in 2007.","Live Earth staged concerts in New York, London, Sydney, Tokyo, Shanghai, Rio de Janeiro, Johannesburg and Hamburg"
"Australia","Country","None","One of the countries where the 10:10 campaign was active.","including Australia, Ghana, Bangladesh, Russia and Nepal"
"Ghana","Country","None","One of the countries where the 10:10 campaign was active.","including Australia, Ghana, Bangladesh, Russia and Nepal"
"Bangladesh","Country","None","One of the countries where the 10:10 campaign was active.","including Australia, Ghana, Bangladesh, Russia and Nepal"
"Russia","Country","None","One of the countries where the 10:10 campaign was active.","including Australia, Ghana, Bangladesh, Russia and Nepal"
"Nepal","Country","None","One of the countries where the 10:10 campaign was active.","including Australia, Ghana, Bangladesh, Russia and Nepal"
"Gloucestershire","Region","United Kingdom","County where Prince Charles’ Highgrove estate is located.","when Prince Charles moved to the Highgrove estate in Gloucestershire"
"Highgrove estate","Other","United Kingdom","Prince Charles’ residence; site of organic farming conversion.","when Prince Charles moved to the Highgrove estate in Gloucestershire"
"Duchy Home Farm","Other","United Kingdom","Part of the Highgrove estate that Prince Charles converted to organic agriculture.","converting the Duchy Home Farm, which is part of the estate, to an organic agricultural system"
"the West","Region","None","The West has experienced rising prosperity and material security over the past sixty years, leading to a shift from materialistic to post‑materialistic values.","Over the past sixty years, the West has seen a rise in prosperity and material security."
"Turkey","Country","None","Citizens felt they were not well informed about the causes and effects of climate change.","In Turkey, Romania, Bulgaria and Lithuania, citizens felt they were not well informed about the causes and effects of climate change."
"Bulgaria","Country","None","Citizens felt they were not well informed about the causes and effects of climate change.","In Turkey, Romania, Bulgaria and Lithuania, citizens felt they were not well informed about the causes and effects of climate change."
"Lithuania","Country","None","Citizens felt they were not well informed about the causes and effects of climate change.","In Turkey, Romania, Bulgaria and Lithuania, citizens felt they were not well informed about the causes and effects of climate change."
"Slovenia","Country","None","Public felt well informed about climate change and were willing to take personal action.","In contrast, the public of Sweden, Slovenia, UK and Ireland felt well informed about the issue and were willing to take personal action."
"Netherlands","Country","None","Showed greater differences of opinion on climate change seriousness compared with other European countries.","There were greater differences of opinion in the Netherlands and UK compared with other European countries."
"Yale University","Institution","United States","Carried out a 2010 study of US public attitudes toward climate change.","A 2010 Yale University study of US public attitudes to climate change found that 63 per cent of Americans believed that global warming is happening."
