Name,Type,Role,Country,Description,Supporting_Text
"Nestlé","Organization","Target of environmental pressure to improve corporate environmental policies.","None","A multinational food and beverage company.","campaigns that have brought about concessions or changes in corporate policy35 by Apple, Bayer,36 Coca Cola,37 Dell,38 McDonalds,39 Monsanto40 and Nestlé,41 among many others."
"Friends of the Earth International","NGO","Claims a large membership base (over 2 million) that supports its environmental campaigning and advocacy.","None","A global network of environmental organisations.","FoE International claims over 2 million members and supporters"
"Natural Resources Defense Council","NGO","Demonstrates its strength through a 1.3 million‑member base and online activists supporting its campaigns.","United States","A US‑based environmental advocacy organisation.","the NRDC illustrates its strength by referring to its 1.3 million members and online activists"
"National Trust","NGO","Offers access to nature reserves and historic landscapes to members; occasionally joins other campaign organisations to show the size of the environmental constituency.","United Kingdom","The largest environmental and heritage conservation group in the United Kingdom.","In the UK, the National Trust is the largest environmental group, followed by the RSPB."
"Royal Society for the Protection of Birds (RSPB)","NGO","Provides membership‑based support for nature conservation and sometimes collaborates with other campaign groups to demonstrate collective strength.","United Kingdom","A major UK bird‑conservation charity.","In the UK, the National Trust is the largest environmental group, followed by the RSPB."
"National Wildlife Federation","NGO","Maintains a large membership base that underpins its advocacy for nature protection and environmental policy.","United States","One of the largest wildlife conservation organisations in the United States.","In the USA, the National Wildlife Federation has one of the largest memberships."
"Conservation International","Organization","Forms partnerships with corporations such as Starbucks and Walmart to integrate conservation into their business practices.","United States","A US‑based environmental group founded in 1987 that seeks partnerships with governments and corporations to embed conservation in business models.","The US‑based group Conservation International (est. 1987) partnered with other organisations from the beginning, reasoning that no organisation can get the job done alone."
"Starbucks","Organization","Partnered with Conservation International to make conservation part of its business model.","United States","A multinational coffeehouse chain that collaborates with environmental NGOs on conservation initiatives.","It has worked with Starbucks and Walmart, among others, to 'make conservation part of their business model'."
"Walmart","Organization","Partnered with Conservation International to embed conservation into its operations.","United States","A global retail corporation that engages in environmental partnerships.","It has worked with Starbucks and Walmart, among others, to 'make conservation part of their business model'."
"Forum for the Future","Organization","Works with companies such as BT, Tesco and Unilever to advance sustainable development.","None","An environmental organization founded in 1996 that promotes sustainable development through corporate partnerships.","Forum for the Future (est. 1996) promotes its work on sustainable development through partnerships with organisations such as BT, Tesco and Unilever."
"BT","Organization","Partnered with Forum for the Future on sustainable‑development initiatives.","United Kingdom","British Telecommunications, a major UK communications company.","Forum for the Future ... partnerships with organisations such as BT, Tesco and Unilever."
"Tesco","Organization","Partnered with Forum for the Future on sustainable‑development initiatives.","United Kingdom","A large UK‑based supermarket chain.","Forum for the Future ... partnerships with organisations such as BT, Tesco and Unilever."
"Unilever","Organization","Partnered with Forum for the Future on sustainable‑development initiatives.","United Kingdom","A multinational consumer goods company.","Forum for the Future ... partnerships with organisations such as BT, Tesco and Unilever."
"WWF International","NGO","Entered a five‑year, £35 million partnership with HSBC, Earthwatch and Botanic Gardens Conservation International to fund conservation projects.","None","The global arm of the World Wide Fund for Nature, a major conservation charity.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five‑year, £35 million partnership."
"Earthwatch","NGO","Co‑partnered with WWF International and Botanic Gardens Conservation International in the HSBC partnership.","None","An international environmental research and citizen‑science organization.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five‑year, £35 million partnership."
"Botanic Gardens Conservation International","NGO","Co‑partnered with WWF International and Earthwatch in the HSBC partnership.","None","A global network of botanic gardens working on plant conservation.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five‑year, £35 million partnership."
"HSBC bank","Organization","Provided a £35 million partnership fund for WWF International and its partners to support conservation projects along major rivers.","United Kingdom","A multinational banking and financial services organization.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five‑year, £35 million partnership."
"Friends of the Earth (FoE)","NGO","Criticised HSBC for financing forest destruction and highlighted its role in financing the palm‑oil sector in Indonesia; also led the ‘The Big Ask’ campaign that helped drive UK climate legislation.","United Kingdom","An international network of environmental organizations.","Two years after the WWF deal, FoE accused HSBC of financing forest destruction and social conflict... In particular, the FoE's The Big Ask campaign helped create the public momentum needed for the UK government to adopt the 2008 Climate Change Act."
"Greenpeace","NGO","Published an investigation labeling the Noel Kempff Climate Action Project a ‘carbon scam’ and challenged its claimed benefits.","None","A global environmental organization known for investigative campaigns.","In 2009, Greenpeace published the findings of its investigation of the Noel Kampff Climate Action Project..."
"Nature Conservancy","NGO","Co‑creator of the Noel Kempff Climate Action Project and defended its carbon‑reduction claims against Greenpeace criticism.","United States","An international conservation organization.","the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"BP","Organization","Co‑founder of the Noel Kempff Climate Action Project, a forest‑carbon initiative.","United Kingdom","A multinational oil and gas company.","the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Pacificorp","Organization","Co‑founder of the Noel Kempff Climate Action Project.","United States","A US‑based electric utility company.","the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"American Electric Power","Organization","Co‑founder of the Noel Kempff Climate Action Project.","United States","A US electric utility corporation.","the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Bolivian Government","Government","Partnered in establishing the Noel Kempff Climate Action Project.","Bolivia","The national government of Bolivia.","the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Wise Use Movement","Coalition","Organises opposition to environmental causes and campaigns.","United States","A US‑based industry‑led counter‑movement opposing environmental regulation.","the counter‑movement has taken many forms, including the Wise Use Movement and the Global Climate Coalition"
"Global Climate Coalition","Coalition","Serves as an organised opposition to environmental initiatives.","None","An international industry coalition that has historically opposed climate‑change regulation.","the counter‑movement has taken many forms, including the Wise Use Movement and the Global Climate Coalition"
"UK government","Government","Implemented climate‑change policies influenced by environmental campaign partnerships; adopted the 2008 Climate Change Act.","United Kingdom","The central government of the United Kingdom.","These have influenced, supported and strengthened UK government action on climate change."
"Committee on Climate Change","Government","Provides advice to the UK government on legally binding greenhouse‑gas reduction targets.","United Kingdom","An independent advisory body established by the UK to provide expert advice on climate targets.","resulted in the independent Committee on Climate Change being established to provide advice to government on these targets and related policies."
"Thom Yorke","Individual","Initiated The Big Ask campaign to demand stronger climate legislation in the UK.","United Kingdom","Lead singer of the music group Radiohead who launched The Big Ask campaign on 25 May 2005.","Thom Yorke (b. 1968), lead singer of the music group Radiohead, launched The Big Ask campaign on 25 May 2005."
"Friends of the Earth (FoE)","Organization","Mobilised public lobbying of MPs for the campaign and participated in a broader climate‑change coalition.","United Kingdom","Environmental NGO that mobilised the public to lobby Members of Parliament and joined a climate‑change coalition of NGOs.","Over the following weeks, FoE mobilised the public to personally lobby 620 out of a total of 646 MPs to back its campaign. FoE also joined a climate change coalition of mainly environmental and international development NGOs."
"Stop Climate Chaos coalition","Coalition","Ran the I Count campaign and organised a rally to urge the government to introduce a climate‑change bill.","United Kingdom","A coalition of environmental and development NGOs that ran the I Count campaign and organised a climate‑change rally in London.","The Stop Climate Chaos coalition ran the I Count campaign and organised a climate change rally in London to urge the government to introduce a climate change bill."
"Campaign for Better Transport","Organization","Worked with other groups to make the Heathrow third‑runway proposal politically unpalatable.","United Kingdom","Transport‑focused campaign group that joined a wide coalition opposing the third runway at London Heathrow airport.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Climate Camp","Organization","Collaborated with other organisations to oppose the third runway at Heathrow.","United Kingdom","Environmental activist group that participated in the coalition opposing Heathrow airport expansion.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"National Trust","Organization","Provided opposition, alongside other groups, to the third runway at Heathrow.","United Kingdom","Heritage conservation charity that joined the opposition to Heathrow airport expansion.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Greenpeace","NGO","Conducted direct action and purchased land to block Heathrow airport expansion.","United Kingdom","International environmental organisation that carried out direct action and a high‑profile land purchase at Heathrow.","Direct action, a high-profile Heathrow land purchase by Greenpeace, and opposition from the National Trust and RSPB combined to provide opposition to the airport expansion."
"Society for the Protection of Ancient Buildings","Organization","Collaborated in the coalition to make the Heathrow runway proposal politically unpalatable.","United Kingdom","Heritage‑building charity that joined the coalition opposing Heathrow’s third runway.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Plane Stupid","Organization","Worked with other groups to oppose the third runway at Heathrow.","United Kingdom","Environmental activist group that participated in the coalition against Heathrow airport expansion.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"RSPB","Organization","Joined opposition efforts alongside Greenpeace and the National Trust to block the runway.","United Kingdom","Royal Society for the Protection of Birds, a conservation charity that opposed Heathrow airport expansion.","Direct action, a high-profile Heathrow land purchase by Greenpeace, and opposition from the National Trust and RSPB combined to provide opposition to the airport expansion."
"Conservative and Liberal Democrat coalition government","Government","Cancelled the third runway at Heathrow and ruled out new runways at Stansted and Gatwick.","United Kingdom","The UK coalition government formed after the May 2010 election.","In May 2010, the newly elected Conservative and Liberal Democrat coalition government cancelled plans for the third runway at Heathrow and ruled out new runways at Stansted and Gatwick airports."
"Coalition Against Runway 2 (CAR2)","Coalition","Attempted to prevent the building of Manchester’s second runway.","United Kingdom","A coalition that campaigned to stop the construction of a second runway at Manchester International Airport in 1997.","This compares with the unsuccessful campaign Coalition Against Runway 2 (CAR2) to stop the construction of a second runway at Manchester's International Airport in 1997."
"Obama Administration","Government","Introduced the American Power Act, a Climate Change Bill aiming to cut carbon emissions.","United States","The United States executive administration under President Barack Obama.","In May 2010, the Obama Administration introduced a long-awaited Climate Change Bill, the American Power Act, which sought to reduce carbon emissions by 17 per cent by 2020 compared with 2005 levels."
"US Senate","Government","Postponed advancement of the Climate Change Bill due to political opposition.","United States","The upper chamber of the United States Congress.","In July 2010, the US Senate announced that it was postponing the advancement of the Climate Change Bill due to wide opposition among Republican lawmakers and some Democrats."
"European Union (EU)","Organization","Serves as a benchmark for emission‑reduction targets compared with the US bill.","European Union","Supranational political and economic union of European states.","This initial target is modest compared with the European Union (EU)."
"Transition Towns movement","Coalition","Organises grassroots action and raises awareness of green living as part of the broader climate‑change social movement.","United Kingdom","A community‑led network of towns and cities that respond to climate change and peak oil through local initiatives and green‑living awareness.","In the UK, the Transition Towns movement has provided a community-led response to climate change and peak oil."
"Interfaith Power and Light network","NGO","Provides a religious response to climate change, engaging faith groups in environmental advocacy and action.","United States","A faith‑based network that mobilises religious communities to address climate change.","In the USA, the Interfaith Power and Light network has provided a religious response to climate change."
"MoveOn network","Organization","Prioritises energy and environmental issues in its campaigning, mobilising a large U.S. membership base for climate action.","United States","A progressive advocacy network with millions of members focused on political and environmental campaigns.","The progressive MoveOn network has approximately 3 million members across the USA, and since 2003 has consistently made energy and environmental issues a campaign priority."
"Avaaz","NGO","Runs worldwide climate‑change campaigns using the online mobilisation model pioneered by MoveOn.","None","A web‑based global campaign community that organises online petitions and actions on a wide range of issues.","Avaaz, a web-based campaign community, uses the model pioneered by MoveOn."
"350","Organization","Organised the largest international climate‑change campaign in 2009, coordinating a global day of action and thousands of demonstrations.","None","An international climate‑change campaign group focused on limiting atmospheric CO₂ to 350 ppm.","In 2009, the campaign group 350 organised the single largest international campaign on climate change."
"United Nations","Organization","Acts as the facilitator of global conferences and agreements on the environment since the 1972 UN Conference on the Human Environment.","International","The primary international organization created in 1945 to provide a forum for global cooperation.","Since the UNCHE, the UN has acted as the facilitator of global conferences and agreements on the environment."
"United Nations Economic and Social Council","Organization","Implemented President Truman’s proposal by acting on the call for a conference on conserving natural resources.","International","A principal organ of the UN responsible for coordinating economic, social and related work of the UN system.","This proposal was acted on by the UN Economic and Social Council, and in 1949 the UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR) was held at Lake Success in New York."
"Harry S. Truman","Individual","Proposed a 1948 conference to consider conserving natural resources as a major basis for peace.","United States","President of the United States (1945‑1953).","In 1948 US President Harry S. Truman (1884-1972) proposed a conference to consider the importance of conserving natural resources as a 'major basis for peace'."
"United States","Government","Dominant actor during the Cold War and post‑Cold War periods, shaping outcomes of global environmental conferences and agreements.","United States","Federal government of the United States of America.","During the Cold War, splits were common between the USA and its allies (the first world)... After the Cold War, a decade of US dominance shaped the outcomes of a series of global environmental conferences and agreements."
"Soviet Union","Government","Boycotted the 1949 UN Scientific Conference on the Conservation and Utilization of Resources, reflecting Cold‑War tensions.","Soviet Union","Federal socialist state that existed from 1922 to 1991, comprising Russia and other republics.","The Soviet Union boycotted the conference, which did not have the power to make recommendations or reach international agreements..."
"Brazil","Government","Emerging world power influencing the future direction of global environmental governance.","Brazil","Federal republic in South America.","As Brazil, China and India become world powers and experience rapid industrialisation, the future direction of global environmental governance is uncertain."
"China","Government","Emerging world power influencing the future direction of global environmental governance.","China","People's Republic of China, a major global power.","As Brazil, China and India become world powers and experience rapid industrialisation, the future direction of global environmental governance is uncertain."
"India","Government","Emerging world power influencing the future direction of global environmental governance.","India","Republic of India, a major global power.","As Brazil, China and India become world powers and experience rapid industrialisation, the future direction of global environmental governance is uncertain."
"Chile","Government","Led developing nations in securing the 1962 UN Declaration on Permanent Sovereignty over Natural Resources.","Chile","Republic of Chile, a South American nation.","In 1962 developing nations, led by Chile, secured a UN Declaration on Permanent Sovereignty over Natural Resources."
"G77/China grouping","Coalition","Formally established in the late 1960s to harmonise the negotiating priorities of developing countries and to emphasise links between the global environment and development agendas.","International","A coalition of developing countries (originally 77 nations) plus China that coordinates negotiating positions at the UN.","By the late 1960s, a G77/China grouping was formally established to harmonise the negotiating priorities of developing countries."
"U Thant","Individual","Authored the 1969 report *Problems of the Human Environment*, which highlighted air and water pollution, soil erosion and resource waste, influencing global awareness and policy agendas.","Myanmar","UN Secretary General (1909‑74) who authored a landmark report on environmental problems.","report published the following year by UN Secretary General Thant (1909-74). The report, entitled Problems of the Human Environment (1969), suggested the world had a decade to seriously address air and water pollution, soil erosion and the waste of natural resources"
"Börje Billner","Individual","Put forward the proposal to the UN General Assembly for a conference on the human environment, initiating the UNCHE process.","Sweden","Swedish Deputy Permanent Secretary who proposed the idea of a global environmental conference.","On 13 December 1967, the Swedish Deputy Permanent Secretary, Börje Billner, put forward the idea to the UN General Assembly that a conference be held to facilitate coordination and to focus the interest of member countries on extremely complex problems related to the human environment."
"Sweden","Government","Originated the proposal for a global conference on the human environment, which led to the UN Conference on the Human Environment (UNCHE).","Sweden","Neutral and progressive country that contributed to disarmament and development aid.","The idea of convening a global conference on the human environment was first proposed by Sweden, which was respected internationally as a neutral and progressive country, and had made considerable contributions to disarmament and development aid."
"UN General Assembly","Organization","Supported the Swedish proposal, adopted resolution 2398 (XXIII) convening UNCHE, and set the agenda for international environmental cooperation.","International","Principal deliberative organ of the United Nations.","At its twenty-third session in December 1968, the UN General Assembly supported the Swedish proposal and agreed it would take place in Stockholm. The General Assembly adopted resolution 2398 (XXIII) convening the UNCHE..."
"United Nations (UN)","Organization","Facilitated the organization of the UN Conference on the Human Environment and subsequent creation of UNEP.","International","International organization comprising member states, overseeing global governance.","The UN General Assembly supported the Swedish proposal... UNCHE also led to the establishment of the UN Environment Programme (UNEP)..."
"UNESCO","Organization","Organised the 1968 Biosphere Conference in Paris, which examined scientific bases for rational use and conservation of biosphere resources.","International","United Nations Educational, Scientific and Cultural Organization.","The first major signs of this new environmental focus were displayed at the 1968 Biosphere Conference held in Paris. This UNESCO‑organised conference examined the scientific basis for rational use and conservation of the resources of the biosphere..."
"UN Environment Programme (UNEP)","Organization","Established as a direct outcome of UNCHE to promote international environmental governance and law‑making.","International","UN agency dedicated to coordinating global environmental activities.","UNCHE also led to the establishment of the UN Environment Programme (UNEP) and provided momentum for an intensive period of international environmental law‑making."
"Romania","Government","Participated in the UN Conference on the Human Environment, representing an exception among Eastern Bloc states.","Romania","Eastern European country that attended UNCHE despite the Soviet bloc boycott.","A further challenge was provided by the refusal of the Soviet bloc (except Romania) to attend the conference because of the lack of international recognition of East Germany."
"UNEP","Organization","Acts as a centre for environmental affairs within the UN system and coordinates expertise to address environmental challenges.","Kenya","United Nations Environment Programme, created to provide a global voice for the environmental agenda within the UN system.","UNEP was created to provide a global voice for the environmental agenda within the UN system."
"Food and Agricultural Organization (FAO)","Organization","Responsible for some aspect of environmental policy within the UN system.","None","UN agency responsible for aspects of environmental policy.","Other UN agencies, such as the Food and Agricultural Organization (FAO), World Meteorological Organization (WMO) and World Health Organization (WHO), were all responsible for some aspect of environmental policy."
"World Meteorological Organization (WMO)","Organization","Responsible for some aspect of environmental policy within the UN system.","None","UN agency responsible for aspects of environmental policy.","Other UN agencies, such as the Food and Agricultural Organization (FAO), World Meteorological Organization (WMO) and World Health Organization (WHO), were all responsible for some aspect of environmental policy."
"World Health Organization (WHO)","Organization","Responsible for some aspect of environmental policy within the UN system.","None","UN agency responsible for aspects of environmental policy.","Other UN agencies, such as the Food and Agricultural Organization (FAO), World Meteorological Organization (WMO) and World Health Organization (WHO), were all responsible for some aspect of environmental policy."
"UNCHE","Organization","Started to address the links between the environment and development agendas together with UNEP.","None","UN entity that began to address the links between the environment and development agendas.","The UNCHE and UNEP started to address the links between the environment and development agendas."
"United Nations (UN)","Organization","Provides the institutional framework within which UNEP and other agencies operate; members debated the creation of UNEP.","None","International organization comprising multiple specialized agencies and bodies.","UNEP was created to provide a global voice for the environmental agenda within the UN system."
"USA","Government","Proposed a smaller unit within the UN system to instil an environmental ethic in other specialised agencies.","USA","United States of America, a member state of the UN.","this resulted in the USA proposing a smaller unit within the UN system that would instil an environmental ethic in other specialised agencies via information, persuasion and direct funding."
"Robert McNamara","Individual","Suggested setting up an international commission to formulate basic proposals to break through an impasse in global development negotiations.","USA","President of the World Bank (1916‑2009).","In January 1977 the president of the World Bank, Robert McNamara (1916-2009), suggested setting up an international commission to formulate basic proposals to break through an international impasse in negotiations on global development."
"World Bank","Organization","Its president proposed the creation of the Brandt Commission; later imposed structural‑adjustment programmes on developing countries.","None","International financial institution that provides loans and development assistance.","In January 1977 the president of the World Bank, Robert McNamara (1916-2009), suggested setting up an international commission..."
"Willy Brandt","Individual","Chaired the Brandt Commission, influencing public opinion and revitalising international engagement on development and environmental issues.","Germany","Former West German Chancellor (1913‑1992).","The Commission was chaired by Willy Brandt (1913-92), the former West German Chancellor, with the aim to influence public opinion, help change government attitudes, and revitalise international engagement between developed countries (the North) and developing countries (the South)."
"Brandt Commission","Coalition","Produced influential reports (e.g., *North‑South: A Program for Survival*) that linked environmental and development agendas and called for increased resource flows to the developing world.","None","International commission established to formulate proposals for breaking the impasse in global development negotiations.","The Commission was chaired by Willy Brandt (1913-92)... The membership of the Brandt Commission strongly represented the developing world and covered varying regional and political views."
"International Monetary Fund (IMF)","Organization","Imposed structural‑adjustment programmes on developing countries as a condition for lending and development aid, which were later found to have harmful social and environmental impacts.","None","International financial institution that provides macro‑economic stability assistance.","Developing countries seeking a way out of the debt crisis were presented with IMF- and World Bank-imposed structural adjustment programmes as a condition for lending and for development aid."
"United Nations (UN)","Organization","Provided the institutional platform where environmental, economic and social issues were raised, despite being marginalised by powerful states such as the USA.","International","An intergovernmental organization that serves as a global forum for environmental, economic and social concerns.","The UN was routinely marginalised by the USA and other powers during this period, but remained a forum for the expression of environmental, economic and social concerns."
"United States of America (USA)","Government","Marginalised the UN and opposed stronger environmental commitments during the 1992 Earth Summit.","United States","A sovereign state that exercised political influence within the United Nations system.","The UN was routinely marginalised by the USA and other powers during this period"
"Gro Harlem Brundtland","Individual","Chaired the WCED and oversaw the production of the Brundtland Report, which reframed the link between environment and development and defined sustainable development.","Norway","Norwegian Prime Minister (born 1939) who chaired the World Commission on Environment and Development.","The Norwegian Prime Minister, Gro Harlem Brundtland (b. 1939), chaired the Commission, and its report, Our Common Future, also known as the Brundtland Report, was published in 1987."
"World Commission on Environment and Development (WCED)","Organization","Produced the seminal Brundtland Report and recommended convening a global conference that led to the 1992 Earth Summit.","International","A UN‑established commission tasked with examining the relationship between environment and development.","the UN General Assembly passed Resolution 38/161, establishing the World Commission on Environment and Development (WCED)."
"UN General Assembly","Organization","Adopted Resolution 38/161 that created the WCED.","International","The main deliberative, policymaking and representative organ of the United Nations.","the UN General Assembly passed Resolution 38/161, establishing the World Commission on Environment and Development (WCED)."
"Union Carbide","Organization","Its catastrophic chemical explosion highlighted the environmental risks of industrial activity and spurred global environmental consciousness.","United States","A multinational chemical corporation responsible for the 1984 Bhopal disaster.","the 1984 Union Carbide chemical explosion at Bhopal in India"
"George H. Bush","Individual","Delivered a speech prioritising American jobs over environmental protection, reflecting the US stance at the summit.","United States","President of the United States during the lead‑up to the 1992 Earth Summit.","Before the Conference, US President George H. Bush gave a speech promising the American public that American jobs came before the environment."
"Arab oil nations","Coalition","Attempted to remove energy‑conservation language from the Agenda 21 plan during the preparatory process for the Earth Summit.","Arab region","A group of oil‑producing Arab states.","In the preparatory process, Arab oil nations attempted to remove energy conservation from the Agenda 21 plan of action."
"United Kingdom (UK)","Government","Criticised for opposing the UN target that developed nations allocate 0.7 % of national income to development aid.","United Kingdom","A sovereign state that was a participant in the 1992 Earth Summit.","The UK was criticised for its opposition to the UN target for developed nations to give 0.7 per cent of national income to development aid."
"Pearson Commission","Organization","Provided the original proposal for the 0.7 % aid target later reiterated at the Earth Summit.","United Kingdom","A UK‑based commission that originally proposed an overseas aid target in 1969.","The Pearson Commission originally proposed the overseas aid target in 1969, and this was reiterated by the Brandt Report a decade later."
"Soviet Union","Government","Site of the 1986 Chernobyl nuclear disaster, which contributed to global awareness of industrial environmental risks.","Soviet Union","A former federal socialist state that existed until 1991.","the 1986 Chernobyl nuclear power plant disaster in the Soviet Union"
"Malaysia","Government","Led developing nations in arguing that a legally binding forest convention might infringe on sovereign rights to exploit forest resources.","Malaysia","A Southeast Asian nation that was part of the developing‑country bloc at the Earth Summit.","Developing nations, led by Malaysia and India, argued that such a convention might interfere with their sovereign right to exploit forest resources."
"India","Government","Co‑led the developing‑nation stance against a binding forest protection convention, citing sovereign rights.","India","A South Asian nation that was part of the developing‑country bloc at the Earth Summit.","Developing nations, led by Malaysia and India, argued that such a convention might interfere with their sovereign right to exploit forest resources."
"Maurice Strong","Individual","Summarised the summit as a historic moment and symbolised the overall leadership of the conference.","Canada","Conference Secretary‑General of the 1992 United Nations Conference on Environment and Development (UNCED).","At its close, Maurice Strong, the Conference Secretary-General, called the Summit a 'historic moment for humanity'."
"Commission on Sustainable Development (CSD)","Organization","Tracks and reports on the implementation of sustainable‑development commitments made at UNCED.","International","UN body created to monitor progress on the implementation of Agenda 21.","The Summit also established the Commission on Sustainable Development (CSD) to monitor progress on the implementation of Agenda 21"
"Global Environment Facility (GEF)","Organization","Provides financial resources to support the implementation of global environmental agreements.","International","International financial mechanism that provides funding for environmental projects.","a funding mechanism called the Global Environment Facility (GEF), which would be managed by the World Bank."
"World Bank","Organization","Administers the GEF’s financial resources for environmental projects worldwide.","International","International development bank that manages the Global Environment Facility.","a funding mechanism called the Global Environment Facility (GEF), which would be managed by the World Bank."
"Global Forum","Coalition","Catalysed civil‑society networking and coordinated transnational advocacy for sustainable development.","International","A transnational civil‑society network that emerged alongside UNCED.","The parallel Global Forum had been a catalyst for civil society networking and concerted transnational advocacy"
"United Nations General Assembly","Organization","Convened special sessions (e.g., Rio+5) to review Agenda 21 implementation and adopt resolutions on environmental action.","International","Main deliberative organ of the United Nations composed of all member states.","In 1997, the UN General Assembly held a special session on the environment (also known as Rio+5) to review and appraise the implementation of Agenda 21."
"United Nations","Organization","Hosted UNCED, later convened the World Summit on Sustainable Development (WSSD) and other follow‑up conferences.","International","International intergovernmental organization that coordinates global environmental and development agendas.","UNCED influenced a series of subsequent UN conferences... the UN convened a World Summit on Sustainable Development (WSSD) to reinvigorate the global commitment to sustainable development"
"George W. Bush","Individual","Chose not to attend the 2002 World Summit on Sustainable Development and rejected the Kyoto Protocol, signalling U.S. isolationist stance.","United States","President of the United States (2001‑2009).","The decision by US President George W. Bush not to attend the summit rendered it partially impotent."
"Colin Powell","Individual","Led the U.S. delegation at the WSSD, promoting private‑sector deals and prioritising economic growth over binding environmental treaties.","United States","U.S. Secretary of State (2001‑2005).","The Secretary of State, Colin Powell, led the US delegation, which emphasised deals with the private sector and stressed the importance of economic growth over binding global treaties"
"South Africa","Government","Provided the venue for the summit and linked its agenda to regional initiatives such as the NEPAD.","South Africa","Host country of the 2002 World Summit on Sustainable Development (WSSD).","Due to the host country being South Africa, there was a deliberate attempt to connect WEHAB to the Millennium Development Goals (MDGs) and the New Partnership for Africa's Development (NEPAD) initiative."
"New Partnership for Africa's Development (NEPAD)","Organization","Integrated the WSSD’s water, energy, health, agriculture and biodiversity agenda with broader African development goals.","International (Africa)","African Union‑led development programme aimed at eradicating poverty and promoting sustainable growth.","Due to the host country being South Africa, there was a deliberate attempt to connect WEHAB to the Millennium Development Goals (MDGs) and the New Partnership for Africa's Development (NEPAD) initiative."
"United Nations Environment Programme (UNEP)","Organization","Initiated many of the multilateral environmental agreements described in the text, helping to shape global environmental governance.","International (United Nations)","The UN's global environmental authority that initiates and supports multilateral environmental agreements (MEAs).","Over 300 have been created since UNCHE, with UNEP taking an active role in initiating many of them."
"British Antarctic Survey","Organization","Provided the scientific evidence in 1987 that Antarctic springtime ozone concentrations had dropped by 40 % from 1964 levels, informing international ozone‑depletion policy.","United Kingdom","A United Kingdom research institute that conducts scientific investigations in Antarctica and the surrounding Southern Ocean.","That same year the British Antarctic Survey found that the springtime atmospheric concentration of ozone in the Antarctic had decreased by 40 per cent from 1964 levels."
"U.S. Environmental Protection Agency (EPA)","Government","Estimated the economic benefits of reducing CFC emissions, supporting the case for the Montreal Protocol’s phase‑out measures.","United States","The United States federal agency responsible for protecting human health and the environment.","The US Environmental Protection Agency also estimated that a 50 per cent reduction in chlorofluorocarbon (CFC) emissions from 1986 levels could save the US trillions of dollars in reduced health costs associated with treating skin cancer."
"United States of America (USA)","Government","One of the twelve countries responsible for 78 % of emissions that took an international leadership role in negotiating and signing the Montreal Protocol.","United States","A sovereign nation that was a major emitter of ozone‑depleting substances in the 1980s.","At the time of signing the Protocol, just twelve countries emitted 78 per cent of emissions; the USA was among them and was prepared to take an international lead."
"Intergovernmental Panel on Climate Change (IPCC)","Organization","Provides scientific support and assessment reports that inform international climate negotiations and policy development.","None","A scientific body created in 1988 by the World Meteorological Organization and the United Nations Environment Programme to assess information on the causes, impacts, and options for addressing climate...","The scientific support is provided by the Intergovernmental Panel on Climate Change (IPCC), created in 1988 by the WMO and UNEP."
