Name,Definition,Significance,Domain,Supporting_Text
"Public service functions of the environment","The idea that the environment provides public service functions, a framing used to argue for its protection and valuation.",,"","Holdren and Ehrlich advocated this idea and in an article for American Scientist described the 'public service functions of the environment'."
"Four categories of ecosystem services","A classification within the ecosystem services framework that groups services into provisioning, regulating, cultural, and supporting categories, each contributing to human wellbeing.",,"","It defined the four categories of ecosystem services that contribute to human wellbeing as: provisioning services, such as food; regulating services, such as filtration of pollutants and flood control; cultural services, such as recreation; and supporting services, such as soil formation and photosy..."
"Market failure","A situation where negative externalities are not recognised by the market system, leading to over‑use or degradation of environmental goods and requiring correction through policy instruments.",,"","Following Pigou, these negative externalities should be regarded as market failures and corrected."
"Negative externalities","Costs imposed on third parties or the environment that are not reflected in market prices, causing the full cost of ecosystem degradation to be ignored.",,"","Because many ecosystem services are not recognised in the market system, the full cost of their degradation is not considered."
"Discount rate (in climate economics)","A numerical factor used to convert future values into present values; low rates give greater weight to future generations, while high rates diminish the importance of long‑term impacts.",,"","At the heart of this debate is the valuation of the future; economic analysis typically applies discount rates to values in future years... Stern used a near‑zero discount rate to underpin his argument; some economists, such as William Nordhaus, use much higher discount rates..."
"No net loss","An initiative in which a company's environmental impacts are offset by undertaking environmental activities of at least equal value, aiming for a net zero impact on ecosystems.",,"","some business sectors are exploring 'no net loss' or 'net positive impact' initiatives in which their impacts are offset by undertaking environmental activities of at least equal value."
"Net positive impact","A corporate strategy that seeks to generate environmental benefits that exceed the negative impacts caused by the company's operations.",,"","some business sectors are exploring 'no net loss' or 'net positive impact' initiatives in which their impacts are offset by undertaking environmental activities of at least equal value."
"Tragedy of the commons","A theoretical framework describing how individual rational actors, each seeking to maximise personal gain from a shared resource, collectively over‑exploit that resource, leading to its depletion or r...",,"","In 1967, Garrett Hardin (1915-2003) developed the notion of the 'tragedy of the commons' where he used the analogy of common grazing land to illustrate that sharing common resources leads to over‑use."
"Mutual coercion mutually agreed upon","A proposed solution to the tragedy of the commons that involves collectively imposed restrictions or regulations that are accepted by all users to prevent over‑exploitation.",,"","His solution was 'mutual coercion mutually agreed upon'."
"Carbon pricing","A policy approach that assigns a monetary cost to carbon emissions, typically through mechanisms such as emissions trading schemes or carbon taxes, to internalise the external costs of greenhouse gase...",,"","Governments have acted to establish a price for carbon. The EU has established an emissions trading scheme..."
"Privatisation of natural resources","The notion that natural resources, such as water, can be transferred to private ownership and managed as market commodities, a view that has generated strong controversy especially regarding water usa...",,"","The idea of privatisation of natural resources has proved particularly controversial in relation to water usage."
"Ecosystem services approach","A framework that treats ecosystem functions as services with economic value, supporting the pricing of water resources to incentivise careful use in both developed and developing worlds.",,"","This is in line with the ecosystem services approach and supports the pricing of water resources so as to incentivise careful use in the developed and developing worlds."
"Universal right to water and sanitation","The principle that access to basic water and sanitation is a universal human right and should not be treated as a negotiable commodity.",,"","Civil society groups have argued that 'access to basic water and sanitation are universal rights, and cannot therefore by negotiated as commodities'."
"Cooperative institutions for common‑pool resources","Durable, cooperative institutions that are organised and governed by the resource users themselves, proposed as a way to resolve commons problems.",,"","According to Ostrom, an approach to resolving the problem of the commons is the design of durable, cooperative institutions that are organised and governed by the resource users themselves."
"Global Green New Deal (GGND)","An initiative launched by UNEP in December 2008 that combines an economic stimulus package with environmental objectives, aiming to create jobs, reduce carbon dependency, curb environmental degradatio...",,"","Following in his footsteps, UNEP instigated the Global Green New Deal (GGND) initiative in December 2008."
"Green fiscal spending","Policy recommendation that the world’s richest economies allocate a share of GDP (e.g., 1 % of global GDP) to environmental initiatives and adopt policy changes that support environmentally‑focused pu...",,"","It recommended that the world's richest economies should spend 1 per cent of global GDP on environmental initiatives over the coming years, and make policy changes at global and national levels to support green fiscal spending."
"Green economy","An economy that is low‑carbon, resource‑efficient and less dependent on fossil fuels, seen as a catalyst for growth and poverty eradication, especially where a large share of poor peoples’ livelihoods...",,"","UNEP published Towards a Green Economy: Pathways to Sustainable Development and Poverty Eradication... It argued that a green economy was important in developed economies, and could also be a catalyst for growth and poverty eradication in developing countries, where in some cases close to 90 per cen..."
"Green stimulus","Fiscal spending directed toward green investments during the recession, amounting to over US$520 billion, representing 16 % of all fiscal spending and 0.7 % of G20 GDP, though falling short of the 1 %...",,"","During the recession, members of the G20 spent over US$520 billion on a green stimulus. The stimulus comprised 16 per cent of all fiscal spending and 0.7 per cent of the G20 GDP, falling short of the 1 per cent GGND recommendation."
"Green fiscal component","The portion of a fiscal stimulus package allocated to green investments; for example, the UK devoted about 11 % of its US$3.9 billion stimulus to green investments and launched a ‘Green economy’ budge...",,"","In 2009, some G20 governments adopted policies to boost aggregate demand and growth, which included a sizeable green fiscal component. The UK devoted approximately 11 per cent of its US$3.9 billion fiscal stimulus to green investments as well as launching a 'Green economy' budget in April 2009..."
"Low‑carbon, resource‑efficient economy","An economy transitioning toward clean, innovative, resource‑efficient, low‑carbon technologies and infrastructure, aimed at building sustainable economies.",,"","A G20 communiqué from the meeting stated 'We will make the transition towards clean, innovative, resource efficient, low carbon technologies and infrastructure [...] We will identify and work together on further measures to build sustainable economies.'"
"Environmental pricing policies","Policy instruments that price environmental externalities to correct market distortions, such as those created by fossil‑fuel subsidies.",,"","Edward B. Barbier, a consultant on the GGND, has argued that the G20 failed to instigate a worldwide green recovery, and called for further measures to reduce market distortions such as the fossil fuel subsidies and develop effective environmental pricing policies and regulations."
"Fossil fuel subsidies","Government subsidies that lower the cost of fossil‑fuel production or consumption, described as an environmentally perverse allocation of capital amounting to about US$600 billion per year globally.",,"","Pavan Sukhdev, head of UNEP's green economy work, described existing economic measures, such as the US$600 billion a year spent on global fossil fuel subsidies, as a 'gross misallocation of capital'."
"Green recovery","A coordinated worldwide effort to revive economies through green investments and policies; the text notes that the G20 failed to launch such a recovery.",,"","Edward B. Barbier, a consultant on the GGND, has argued that the G20 failed to instigate a worldwide green recovery..."
"Green investment","Investment in ten key sectors (agriculture, buildings, energy supply, fisheries, forestry, industry including energy efficiency, tourism, transport, waste management and water) amounting to roughly 2 ...",,"","As an alternative, the report made a case for investing 2 per cent of global GDP (approximately US$1.3 trillion) a year in green investments across ten key sectors (agriculture, buildings, energy supply, fisheries, forestry, industry including energy efficiency, tourism, transport, waste management ..."
"Sustainable economies","Economies built on sustainability principles, emphasizing clean, innovative, resource‑efficient, low‑carbon technologies and infrastructure.",,"","We will identify and work together on further measures to build sustainable economies."
"green economy","An economic model that links environmental sustainability with poverty reduction and is increasingly viewed as important by the international community.",,"","There is a growing view that links between the green economy and poverty reduction will become increasingly important as the international community turns its attention to Rio+20."
"ecological economics","A discipline that is critical of standard economic theories while using them, aiming to address the interdependence of economies and ecosystems and to translate principles of sustainable development i...",,"","This chapter has examined how ecological economics has developed as a discipline that is critical of standard economic theories while at the same time making use of them."
"decoupling","The attempt to break the link between economic growth and worsening environmental quality, potentially achieved by reconfiguring production processes and redesigning goods and services so the economy ...",,"","In response, attempts have been made at 'decoupling' or breaking the link between economic growth and worsening environmental quality. Theoretically this could be achieved by reconfiguring production processes and redesigning goods and services."
"Prosperity Without Growth","A vision of a different kind of economy and prosperity where human flourishing occurs within the ecological limits of a finite planet, requiring a shift away from consumption‑driven growth toward clea...",,"","In Prosperity Without Growth (2009), Tim Jackson argues that a different kind of economy is essential for a different kind of prosperity - one where human beings can flourish within the ecological limits of a finite planet."
"growth economics","An economic paradigm that prioritises continual economic growth, which the text critiques as needing to be abandoned in favor of ecological limits.",,"","All this requires establishing the ecological boundaries for human activity, abandoning growth economics and transforming the mass consumer culture."
"sustainable development","A set of principles—equity, intergenerational justice, personal responsibility, and improvement of human wellbeing—guiding the co‑evolution of economies and ecosystems.",,"","Ultimately, ecological economics aims to address the interdependence of economies and ecosystems, particularly how these two systems can co‑evolve based on principles of sustainable development - equity, intergenerational justice and personal responsibility, and improvement of human wellbeing."
"intergenerational justice","A principle of sustainable development that emphasizes fairness and responsibility toward future generations.",,"","Ultimately, ecological economics aims to address the interdependence of economies and ecosystems, particularly how these two systems can co‑evolve based on principles of sustainable development - equity, intergenerational justice and personal responsibility, and improvement of human wellbeing."
"personal responsibility","A principle of sustainable development that calls for individuals to take accountability for their impact on the environment and human wellbeing.",,"","Ultimately, ecological economics aims to address the interdependence of economies and ecosystems, particularly how these two systems can co‑evolve based on principles of sustainable development - equity, intergenerational justice and personal responsibility, and improvement of human wellbeing."
"ecological boundaries","Limits that define the permissible scale of human activity within the planet’s finite ecological capacity.",,"","All this requires establishing the ecological boundaries for human activity, abandoning growth economics and transforming the mass consumer culture."
"mass consumer culture","A societal pattern characterized by high levels of consumption and production of novelty, which the text argues must be transformed to achieve environmental gains.",,"","All this requires establishing the ecological boundaries for human activity, abandoning growth economics and transforming the mass consumer culture."
"Environmentalism","A mainstream Western cultural movement that has become part of everyday life, with green issues influencing brands, government messages, media debates, and personal decisions; it now co‑exists with co...",,"","Widespread public exposure to environmental issues has pushed environmentalism into mainstream western culture to the extent that striving to be 'green' has become a modern-day aspiration... Environmentalism has developed alongside consumerism to become part of contemporary popular culture. The envi..."
"Consumerism","The cultural and economic pattern of increasing production and consumption that grew alongside environmentalism after World War II, shaping popular culture and driving the post‑war rise in material go...",,"","Environmentalism has developed alongside consumerism to become part of contemporary popular culture... The phenomenal expansion in production and consumption contributed to a post‑war baby boom and the rise of consumerism on both sides of the Atlantic."
"Post‑war consumer boom","A period after World War II marked by the end of rationing, rapid economic growth, and a surge in consumption and material prosperity, fueled by policies such as the U.S. Marshall Plan and leading to ...",,"","The introduction of rationing during the Second World War instilled in the wartime generation an appreciation of the scarcity of resources... As European countries began to rebuild their economies, the post‑war Labour government continued rationing... In order to modernise industrial and business pr..."
"Car culture","A social pattern in which personal automobile ownership and mobility become central to everyday life, exemplified by the rapid increase in car sales and the embrace of automobiles in the United States...",,"","In the USA, trolley buses and cable cars were abandoned and railways dismantled. In the space of one year (1945‑46), total US car sales leaped from 69,500 to 2.1 million. By 1950, Americans had embraced the car culture, with new car sales totalling 6.7 million."
"Consumer advocacy","A form of activism that challenges corporate practices and seeks regulatory change to protect consumers, emerging prominently after Ralph Nader’s critique of the automobile industry.",,"","In 1965, Ralph Nader (b. 1934) published Unsafe at Any Speed, which examined the reluctance of the car industry to improve both vehicle pollution and safety. Nader's book directly challenged large corporations and prompted a new type of consumer advocacy."
"Television advertising","A marketing practice that uses televised commercials to reach mass audiences, introduced in the UK by ITV in the 1950s and earlier in the US, and described as a powerful tool for producers.",,"","ITV introduced television advertising to a British audience. American households were already used to television advertising. The first US television advertisement, for watchmaker Bulova, had been broadcast twelve years earlier and an industry was already developing around this advertising medium. W..."
"post‑war consumer culture","A cultural pattern that emerged after World War II in which television, radio and the press stimulated an appetite for the consumption of goods, services and international travel, turning buying and u...",,"","Television, together with radio and the press, contributed to the development of a post‑war consumer culture. This stimulated an appetite for the consumption of goods and services as well as international travel, which inevitably had environmental consequences."
"consumer culture","A way of life in which consumption is central to personal identity, social status, and spiritual or ego satisfaction, expressed through what people wear, drive, eat, and own.",,"","Our enormously productive economy demands that we make consumption our way of life, that we convert the buying and use of goods into rituals, that we seek our spiritual satisfactions, our ego satisfactions, in consumption. The measure of social status, of social acceptance, of prestige, is now to be..."
"environmental concepts","Ideas that link human activity—especially consumption and technological progress—to environmental consequences, raising public awareness of pollution and the planet’s ecological limits.",,"","But the extensive television coverage of humanity's first mission to land on the moon, and the images of planet Earth from space, also helped to bring modern environmental concepts into the mainstream."
"Earthrise","The iconic photograph taken during the Apollo 8 mission that shows Earth rising over the lunar horizon, which transformed people's understanding of the planet and contributed to a growing environmenta...",,"","The first image of Earth rising in the vast darkness of space over a lunar landscape became an iconic picture. ... The images of a desolate and lifeless moon contrasted with the blue and white, fertile Earth and provided a stark reminder of humankind's fragility ... This fed a growing environmental ..."
"Earth Day","An annual environmental observance first proposed in 1969, marked by nationwide teach‑ins, media coverage, and public participation to raise awareness of environmental issues.",,"","A year after the moon landing, US senator Gaylord Nelson (1916‑2005) proposed the first Earth Day on 22 April 1970. The day was marked by a national environment teach‑in led by schools, colleges, universities and community groups."
"Earth Day campaign","A recurring public campaign that highlights the need for individuals and communities to protect the environment.",,"","By 1970, the Earth Day campaign was again highlighting the need for individuals and communities to do their bit to protect the environment."
"national cleanliness ethic","A societal norm promoted to reduce litter and encourage cleanliness in public spaces.",,"","KAB was founded in 1953 by a group of US corporate and civic leaders to promote and develop a national cleanliness ethic in response to the growing problem of litter."
"greenwash","Disinformation disseminated by an organisation so as to present an environmentally responsible public image.",,"","This was seen as an early form of 'greenwash' - disinformation disseminated by an organisation so as to present an environmentally responsible public image."
"recycling","An established environmental action in which materials are collected, processed, and reused, considered a practice that everybody could do.",,"","By now recycling was becoming an established environmental action that everybody could do."
"materials recovery","The systematic collection and processing of discarded materials for reuse, marking the start of organized municipal recycling efforts.",,"","In November 1970, Woodbury, New Jersey was the first US city to begin materials recovery, spearheaded by an environmentally concerned community organisation."
"Clean Community System","A KAB‑initiated program that emphasized street cleaning and other litter‑control activities as an alternative to container deposit legislation.",,"","a year later launched the Clean Community System as an alternative that placed an emphasis on street cleaning and other litter-control activities."
"bottle bank","A public collection point for used beverage containers, introduced as a way to encourage recycling and reduce litter.",,"","In August 1977, the UK's first bottle bank was sited in the car park of the Tesco supermarket in Barnsley, South Yorkshire. The bottle bank was introduced by Stanley Race, then president of the Glass Manufacturers' Federation..."
"kerbside recycling","A system where recyclable waste is collected directly from households' curbs, facilitating large‑scale material recovery.",,"","The German Green Party had thousands of elected local councillors who worked to establish kerbside recycling collections."
"Crying Indian campaign","A public announcement campaign that became an iconic symbol of personal environmental responsibility, featuring a Native American chief confronting litter and pollution.",,"","In 1971, Keep America Beautiful (KAB) launched the 'Crying Indian' public announcement campaign, which was to become an iconic symbol of personal environmental responsibility."
"green consumerism","An idea that gives individuals the power to vote with their pocket and hold governments and companies accountable for social and environmental standards.",,"","The idea of 'green consumerism' gave individuals the power to vote with their pocket and make accountable governments and companies that did not live up to expected social and environmental standards."
"consumer sovereignty","A principle emphasizing that individuals are responsible for their consumption choices and that markets should respond to consumer preferences.",,"","The much promoted principle of consumer sovereignty placed an emphasis on individuals taking responsibility for their choices."
"energy conservation","The practice of reducing energy use, promoted through a national campaign to encourage households to save energy.",,"","In the UK this caused national debates on energy security and led the government to introduce a national 'Save it' campaign to promote energy conservation."
"energy security","The concern for reliable and affordable energy supplies, highlighted by public debate after an oil price hike caused by an OPEC embargo.",,"","In the UK this caused national debates on energy security and led the government to introduce a national 'Save it' campaign..."
"environmental awareness","The heightened public consciousness of environmental issues that drives consumer behavior and market responses.",,"","Heightened awareness of environmental issues has meant that consumers have also turned to the market to express their moral, political and environmental concerns."
"ethical investment","Investment strategies that prioritize ethical, social, and environmental criteria, exemplified by the launch of new British ethical funds in the late 1980s.",,"","Green products and services were now beginning to span the entire market, and in 1987 a boom in ethical investment saw the launch of six new British ethical funds."
"Green consumerism","A mainstream consumer movement that encourages individuals to purchase products with environmental credentials, influencing market demand for greener goods.",,"","green consumerism has become mainstream, and has been promoted and heavily influenced by the mass media, businesses and campaign groups."
"Greenwashing","The practice of making misleading or superficial environmental claims about products or services, often dismissed by consumers as gimmickry.",,"","consumers were wary of companies undertaking 'greenwash' campaigns... One 1990 survey indicated that 47 per cent of customers dismissed environmental claims as mere 'gimmickry'."
"Environmental labelling","A labeling approach that provides information on the environmental credentials of products, helping consumers differentiate between superficially similar items.",,"","Differentiation allows brands to stand out, and environmental labelling provides one way of doing this."
"EU Ecolabel scheme","A voluntary European Union label introduced in 1992 to make it easier for consumers to identify and choose green products, covering the whole life‑cycle from raw‑material extraction to disposal.",,"","the EU introduced a voluntary Ecolabel scheme in 1992. The Ecolabel was designed to make it easier for consumers to identify and choose green products and to encourage businesses, services and market products to advertise their environmental credentials."
"Throwaway society","A societal model characterized by disposable, single‑use products and high levels of waste generation.",,"","The polystyrene 'clamshells' in which hamburgers were sold became a symbol of the throwaway society."
"Plan A programme","Marks & Spencer’s £200 million initiative aimed at achieving carbon neutrality by cutting energy consumption and increasing the use of recycled materials.",,"","Marks & Spencer launched a £200 million 'Plan A' programme to make the company carbon neutral by cutting energy consumption and stocking more products from recycled materials."
"Green brands","Companies that market products with explicit environmental or sustainability attributes, often aligning with consumer demand for eco‑friendly goods.",,"","Many iconic green brands of today grew rapidly during the 1980s... In 2007, Britain's leading businesses responded to a resurging green trend, with the supermarket chain Tesco announcing it would be labelling 70,000 products with details of its carbon footprint... Marks & Spencer launched a £200 mil..."
"green celebrity","A term that began to emerge regularly in the 2000s to describe the use of celebrity status to promote environmental issues and sell sustainability to a moderately interested public.",,"","However, it was not until the 2000s that 'green celebrity' began to emerge with regularity. In May 2006, US Vanity Fair, a magazine of popular culture, fashion and politics, reflected popular environmental awareness when it published its 'Green Issue'..."
"environmental awareness","The growing public consciousness of environmental issues, reflected in media coverage and special publications, especially after major events such as Hurricane Katrina.",,"","The cover described global warming as a threat graver than terrorism and called for 'A New American Revolution'. The green issue was produced partly as a response to the increased environmental awareness that followed Hurricane Katrina and the destruction of New Orleans..."
"global warming","A climatic phenomenon presented as a threat more serious than terrorism, prompting calls for societal transformation.",,"","The cover described global warming as a threat graver than terrorism and called for 'A New American Revolution'."
"climate change","The ongoing alteration of the planet’s climate system, portrayed in high‑profile films as potentially catastrophic and used to mobilise public concern.",,"","Climate change has had a more permanent effect on culture more generally, and has even become the subject of high‑profile films. In 2006, former US Democratic Party Vice President Al Gore's long‑standing interest in environmental issues led him to produce the Oscar‑winning documentary An Inconvenien..."
"sustainability","The practice of promoting environmentally responsible lifestyles and policies, marketed to the public through celebrity‑driven media such as Vanity Fair’s green issue.",,"","The cover described global warming as a threat graver than terrorism and called for 'A New American Revolution'. ... marked an attempt to use celebrity to sell sustainability to a moderately interested public."
"10:10 campaign","A movement that encouraged individuals, businesses and organisations to commit to reducing their carbon emissions, originally aiming for a 10 % reduction in the developed world’s emissions by the end ...",,"","This inspired Armstrong to found the 10:10 campaign, which encouraged individuals, businesses and organisations to commit to reducing their carbon emissions."
"Active Resistance","A project set up to encourage engagement with humanitarian and environmental issues.",,"","In 2005, the designer Vivenne Westwood (b. 1941) set up 'Active Resistance' as a project to encourage engagement with humanitarian and environmental issues."
"eco‑philosophy","An ecological philosophy promoted by a fashion designer that urges consumers not to buy new clothes as part of a broader environmental ethic.",,"","Westwood has supported the campaign to combat climate change and invited consumers not to buy new clothes as part of her new eco‑philosophy."
"eco‑chic","A fashion trend that makes environmentally friendly (green) products stylish and desirable.",,"","The bag became so popular it sold out within an hour, contributing to an 'eco‑chic' trend in fashion."
"green identity","The self‑perception of being environmentally friendly, which may be disconnected from actual environmentally friendly behaviour.",,"","This discord between green identity and green action is bound up in people's awareness of, and attitudes to, the environment."
"green action","Actual environmentally friendly behaviour, contrasted with the mere perception of being green.",,"","This discord between green identity and green action is bound up in people's awareness of, and attitudes to, the environment."
"sustainable living","A lifestyle approach that encourages and celebrates practices aimed at reducing environmental impact and presenting an inspiring vision of a sustainable future.",,"","to promote an initiative to encourage and celebrate sustainable living. The aim of the initiative was to present an inspiring vision of a sustainable future and to assist people across the UK to take practical steps to lead more sustainable lives."
"organic agricultural system","An agricultural management approach that avoids synthetic inputs and emphasizes natural, organic methods.",,"","he began the process of converting the Duchy Home Farm, which is part of the estate, to an organic agricultural system."
"organic brand (Duchy Originals)","A brand that produces natural, organic products with the aim of protecting and sustaining the countryside and wildlife.",,"","In 1990, he launched his own organic brand, Duchy Originals, which embodies the Prince of Wales's commitment to producing natural, organic products while helping to protect and sustain the countryside and wildlife."
"Post-materialism","A shift in societal values from materialistic concerns (food, shelter, warmth) toward quality of life and spiritual development, making people more receptive to environmental issues.",,"","Ronald Inglehart (b. 1934) defined this phenomenon as 'post-materialism'. People with post-materialist values are more likely to be receptive to environmental issues."
"Post-materialist values","Values that prioritize quality of life and spiritual development over material needs, replacing materialistic values.",,"","materialistic values have gradually been replaced by 'post-materialistic' values focused on quality of life and spiritual development."
"Low carbon","A term denoting reduced carbon emissions, increasingly used in public discourse and publications from the early 1990s onward.",,"","In the early 1990s, the term 'low carbon' was rarely used; by 2008 it could be found in over 4000 major world publications."
"Carbon footprint","A measure of the total greenhouse gas emissions associated with an individual, organization, or product, widely referenced in lifestyle articles and corporate reports by the late 2000s.",,"","Similarly, the term 'carbon footprint' had become ubiquitous in lifestyle articles and corporate reports by the late 2000s."
"Environmentalism","A contemporary movement concerned with protecting the environment, strengthened and consolidated by the growth of new occupations such as white‑collar public‑sector jobs in the 1970s and 1980s.",,"","It could also be argued that the growth of new occupations in the 1970s and 1980s, such as white‑collar public sector jobs, have strengthened and consolidated contemporary environmentalism."
"Second‑order issue","A public concern (here, the environment) that remains relatively stable but becomes less visible when more immediate, first‑order concerns dominate public attention.",,"","Instead, the environment is a second-order issue, concern for which does not change, but is hidden when other firstorder public concerns are raised (such as the economy, immigration and crime)."
"First‑order public concerns","Primary public issues that capture immediate attention, such as the economy, immigration, and crime, which can obscure secondary concerns like the environment.",,"","firstorder public concerns are raised (such as the economy, immigration and crime)."
"low-impact lifestyles","Lifestyles that minimise environmental impact and contribute less to greenhouse‑gas emissions, representing a shift away from high‑consumption, carbon‑intensive ways of living.",,"","This widespread variation in public understanding, knowledge and attitudes to climate change demonstrates that further effort needs to be made by the environmental movement, government and businesses if the mainstream are to be persuaded to change their behaviour and make the transition to low-impac..."
"top‑down mass information and awareness campaigns","A top‑down approach that uses intensive, time‑limited, and often expensive campaigns directed at the whole population to ‘educate’ the public by providing information on environmentally friendly decis...",,"","Approaches to achieving environmentally friendly behavioural change include top-down mass information and awareness campaigns directed at the whole population. These campaigns aim to 'educate' the public by providing information on environmentally friendly decisions and behaviours."
"top‑down approach","A strategy in which authorities or organisations deliver information and guidance from a central authority to the public, often criticised for misunderstanding public perceptions and not addressing un...",,"","The top-down approach has been criticised for misunderstanding public perceptions of issues. Factors that might influence a decision are often not addressed."
"environmentally friendly behavioural change","The process of altering individual attitudes and actions toward choices that reduce environmental degradation, such as changes in food consumption, energy use, and personal travel.",,"","Approaches to achieving environmentally friendly behavioural change include top-down mass information and awareness campaigns directed at the whole population."
"sustainable goods and services","Products and services perceived as environmentally sustainable, often viewed by the public as being more expensive, which can hinder their adoption.",,"","people's perception of sustainable goods and services as being more expensive; lack of awareness about how to become more sustainable; and mistrust of government bodies, environmental organisations and businesses that promote lifestyle changes."
"public understanding of climate change","The collective level of knowledge, awareness, and attitudes that the general public holds regarding the causes, impacts, and seriousness of climate change.",,"","This widespread variation in public understanding, knowledge and attitudes to climate change demonstrates that further effort needs to be made by the environmental movement, government and businesses if the mainstream are to be persuaded to change their behaviour..."
"selling the sausage approach","A marketing concept that focuses on promoting the desirable sounds and smells (the “sizzle”) rather than the product itself; applied to environmental issues, it is seen as failing to deliver the funda...",,"","In the 1940s, US salesman Elmer Wheeler advised businesses on his 'Don't sell the sausage, sell the sizzle!' marketing approach. Wheeler's secret to successful selling was not to advertise the sausage itself, but to focus on the desirable sounds and smells of the 'sizzle'... There is increasing reco..."
"value-action gap","The inconsistency where individuals' positive attitudes toward green behaviour do not translate into actual environmentally friendly actions.",,"","This inconsistent 'value-action' gap is where attitudes to green behaviour differ from actual behaviour."
"green lifestyle","A way of living that is perceived as environmentally friendly; however, there is widespread confusion about what constitutes a green lifestyle, with many people believing they already live green despi...",,"","This confusion about what a green lifestyle actually entails is evident in the responses to a 2009 UK survey on the issue. A green lifestyle was no longer seen as an alternative lifestyle by half of the respondents... the majority of respondents (61 per cent) felt it was worth doing environmentally ..."
"green heaven","A compelling, positive vision of a greener future that makes sustainable behaviour attractive and demonstrates that transitioning to a low‑carbon society improves quality of life for everyone.",,"","The challenge of the environmental movement is to communicate a vision that sells a 'green heaven'; one that puts the sizzle back into green behaviour and demonstrates that a transition to a low-carbon society ultimately means a better quality of life for everyone."
"low-carbon society","A societal model characterized by reduced carbon emissions, presented as delivering a better quality of life when achieved through sustainable transitions.",,"","The challenge of the environmental movement is to communicate a vision that sells a 'green heaven'... and demonstrates that a transition to a low-carbon society ultimately means a better quality of life for everyone."
"Consumerism","The mainstream culture of consumerism that defines twenty‑first‑century living, encompassing the values and beliefs that underpin contemporary consumer‑driven lifestyles.",,"","the values and beliefs that underpin the mainstream culture of consumerism that defines twenty-first-century living"
